City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,East London,ZA,2020-05-10 16:20:49,-33.02,27.91,76.14,41,0,5.79,clear sky,0.0,0.0
1,Kaitangata,NZ,2020-05-10 16:21:53,-46.28,169.85,46.99,86,27,2.77,scattered clouds,0.0,0.0
2,Sao Joao Da Barra,BR,2020-05-10 16:18:13,-21.64,-41.05,78.8,44,0,13.87,clear sky,0.0,0.0
3,Chicama,PE,2020-05-10 16:25:27,-7.84,-79.15,69.8,77,82,13.87,broken clouds,0.0,0.0
4,Mataura,NZ,2020-05-10 16:25:27,-46.19,168.86,44.58,91,19,3.27,few clouds,0.0,0.0
5,Bethel,US,2020-05-10 16:25:27,41.37,-73.41,55.99,34,1,24.16,clear sky,0.0,0.0
6,Saint George,US,2020-05-10 16:20:51,37.1,-113.58,78.01,21,1,3.36,clear sky,0.0,0.0
7,Barrow,US,2020-05-10 16:22:00,71.29,-156.79,23.0,85,20,6.93,mist,0.0,0.0
8,Yellowknife,CA,2020-05-10 16:25:01,62.46,-114.35,28.4,58,20,8.05,few clouds,0.0,0.0
9,Busselton,AU,2020-05-10 16:25:28,-33.65,115.33,48.0,67,99,2.08,overcast clouds,0.0,0.0
10,Souillac,MU,2020-05-10 16:25:28,-20.52,57.52,73.4,69,40,12.75,scattered clouds,0.0,0.0
11,Puerto Ayora,EC,2020-05-10 16:25:28,-0.74,-90.35,82.4,74,20,18.34,few clouds,0.0,0.0
12,Vilhena,BR,2020-05-10 16:21:55,-12.74,-60.15,82.4,65,75,8.05,broken clouds,0.0,0.0
13,Westport,US,2020-05-10 16:21:59,41.14,-73.36,55.99,46,1,19.46,clear sky,0.0,0.0
14,Adrar,MR,2020-05-10 16:25:29,20.5,-10.07,99.52,9,7,13.98,clear sky,0.0,0.0
15,Kodiak,US,2020-05-10 16:17:31,57.79,-152.41,42.8,87,90,3.36,overcast clouds,0.0,0.0
16,Miyako,JP,2020-05-10 16:21:55,39.64,141.95,59.32,77,9,8.34,clear sky,0.0,0.0
17,Portland,US,2020-05-10 16:20:44,45.52,-122.68,69.01,55,75,6.93,broken clouds,0.0,0.0
18,Vila Franca Do Campo,PT,2020-05-10 16:18:24,37.72,-25.43,62.6,72,20,19.46,few clouds,0.0,0.0
19,Norman Wells,CA,2020-05-10 16:21:56,65.28,-126.83,44.6,56,5,16.11,clear sky,0.0,0.0
20,Pacific Grove,US,2020-05-10 16:21:56,36.62,-121.92,57.2,71,90,2.53,haze,0.0,0.0
21,Punta Arenas,CL,2020-05-10 16:20:52,-53.15,-70.92,44.6,93,90,14.99,overcast clouds,0.0,0.0
22,Bayanday,RU,2020-05-10 16:21:56,53.07,105.51,51.51,74,96,8.88,overcast clouds,0.0,0.0
23,Rikitea,PF,2020-05-10 16:16:55,-23.12,-134.97,75.0,73,1,10.49,clear sky,0.0,0.0
24,Codrington,AU,2020-05-10 16:17:00,-38.27,141.97,46.54,92,2,9.35,clear sky,0.0,0.0
25,Namibe,AO,2020-05-10 16:21:57,-15.2,12.15,86.0,66,20,11.41,few clouds,0.0,0.0
26,Jaca,ES,2020-05-10 16:21:57,42.57,-0.55,55.0,94,100,1.01,moderate rain,0.0,0.0
27,Kapaa,US,2020-05-10 16:21:58,22.08,-159.32,73.4,73,40,12.75,scattered clouds,0.0,0.0
28,Pevek,RU,2020-05-10 16:17:34,69.7,170.31,34.12,87,68,14.07,broken clouds,0.0,0.0
29,Te Anau,NZ,2020-05-10 16:21:58,-45.42,167.72,48.92,84,100,3.09,overcast clouds,0.0,0.0
30,Dubbo,AU,2020-05-10 16:21:58,-32.25,148.62,37.4,86,10,4.7,clear sky,0.0,0.0
31,Saint-Francois,FR,2020-05-10 16:21:58,46.42,3.91,68.0,56,100,13.87,light rain,0.0,0.0
