City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vila Franca Do Campo,PT,2020-05-07 01:45:35,37.72,-25.43,62.6,93,40,8.05
1,Mataura,NZ,2020-05-07 01:45:35,-46.19,168.86,55.33,80,95,8.99
2,Norman Wells,CA,2020-05-07 01:45:35,65.28,-126.83,44.6,56,20,16.11
3,Kargasok,RU,2020-05-07 01:45:35,59.06,80.86,49.95,68,0,16.35
4,Plettenberg Bay,ZA,2020-05-07 01:45:36,-34.05,23.37,61.65,70,8,3.31
5,Cherskiy,RU,2020-05-07 01:45:36,68.75,161.3,34.39,87,100,6.11
6,Narsaq,GL,2020-05-07 01:45:36,60.92,-46.05,42.8,75,67,5.82
7,Butaritari,KI,2020-05-07 01:45:36,3.07,172.79,83.8,77,61,10.22
8,Kailua,US,2020-05-07 01:45:36,21.4,-157.74,86.0,51,20,12.75
9,Carnarvon,AU,2020-05-07 01:45:36,-24.87,113.63,64.96,51,0,19.75
10,Saint-Philippe,RE,2020-05-07 01:45:37,-21.36,55.77,73.4,73,43,6.93
11,Arraial Do Cabo,BR,2020-05-07 01:45:37,-22.97,-42.03,75.2,100,75,8.05
12,Luderitz,NA,2020-05-07 01:45:37,-26.65,15.16,72.73,26,0,7.58
13,Umm Kaddadah,SD,2020-05-07 01:45:37,13.6,26.69,81.91,16,86,19.01
14,Ushuaia,AR,2020-05-07 01:45:19,-54.8,-68.3,42.8,75,90,2.24
15,Rikitea,PF,2020-05-07 01:45:37,-23.12,-134.97,74.82,64,100,11.63
16,New Norfolk,AU,2020-05-07 01:45:38,-42.78,147.06,55.99,75,100,5.86
17,Kyra,RU,2020-05-07 01:45:38,49.58,111.98,45.14,54,8,16.58
18,Ostrovnoy,RU,2020-05-07 01:45:38,68.05,39.51,33.58,91,92,12.57
19,San Cristobal,VE,2020-05-07 01:45:38,7.77,-72.22,68.38,85,87,2.62
20,Jamestown,US,2020-05-07 01:42:19,42.1,-79.24,42.8,41,1,4.7
21,Yellowknife,CA,2020-05-07 01:42:16,62.46,-114.35,48.2,42,75,12.75
22,Deputatskiy,RU,2020-05-07 01:45:38,69.3,139.9,24.87,95,81,3.4
23,Dzilam Gonzalez,MX,2020-05-07 01:45:39,21.28,-88.93,82.0,81,97,7.36
24,Dudinka,RU,2020-05-07 01:45:39,69.41,86.18,30.2,86,75,4.47
25,Tuktoyaktuk,CA,2020-05-07 01:45:39,69.45,-133.04,23.0,79,75,12.75
26,Albany,US,2020-05-07 01:45:32,42.6,-73.97,53.01,63,100,5.26
27,Tessalit,ML,2020-05-07 01:45:39,20.2,1.01,83.43,14,0,6.24
28,Nikolskoye,RU,2020-05-07 01:45:39,59.7,30.79,42.01,86,67,11.18
29,Maumere,ID,2020-05-07 01:45:40,-8.62,122.21,84.36,75,7,5.48
30,Barrow,US,2020-05-07 01:45:40,71.29,-156.79,12.2,85,1,11.41
31,Abu Samrah,SY,2020-05-07 01:45:40,35.3,37.18,57.09,85,0,11.74
32,Bathsheba,BB,2020-05-07 01:45:40,13.22,-59.52,80.6,78,40,20.8
33,Tasiilaq,GL,2020-05-07 01:45:40,65.61,-37.64,30.2,80,0,14.99
34,Tay Ninh,VN,2020-05-07 01:45:40,11.3,106.1,90.66,56,0,8.3
35,Mount Isa,AU,2020-05-07 01:45:40,-20.73,139.5,80.6,34,0,12.75
36,Matay,EG,2020-05-07 01:45:41,28.42,30.78,63.05,59,0,7.14
37,Sao Jose Da Coroa Grande,BR,2020-05-07 01:45:41,-8.9,-35.15,78.73,84,100,7.4
38,Dondo,MZ,2020-05-07 01:45:41,-19.61,34.74,66.13,85,71,5.91
39,Lompoc,US,2020-05-07 01:45:41,34.64,-120.46,71.01,55,20,12.75
